Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
416238,2009-10-31,Delhi,Feroz Shah Kotla,"India, Australia",India,normal,6 wickets,50,Australia,bat,Yuvraj Singh,"SS Hazare, AM Saheba",BC Broad,ODI,male
416239,2009-11-02,Chandigarh,"Punjab Cricket Association Stadium, Mohali","India, Australia",Australia,normal,24 runs,50,India,field,SR Watson,"EAR de Silva, AM Saheba",BC Broad,ODI,male
416240,2009-11-05,Hyderabad,"Rajiv Gandhi International Stadium, Uppal","India, Australia",Australia,normal,3 runs,50,Australia,bat,SR Tendulkar,"EAR de Silva, SK Tarapore",BC Broad,ODI,male
416241,2009-11-08,Guwahati,Nehru Stadium,"India, Australia",Australia,normal,6 wickets,50,India,bat,DE Bollinger,"EAR de Silva, SK Tarapore",BC Broad,ODI,male
422626,2009-10-27,Mirpur,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",Zimbabwe,normal,5 wickets,50,Zimbabwe,field,E Chigumbura,"Aleem Dar, Nadir Shah",RS Madugalle,ODI,male
422627,2009-10-29,Mirpur,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",Bangladesh,normal,7 wickets,50,Zimbabwe,bat,Abdur Razzak,"Aleem Dar, Enamul Haque",RS Madugalle,ODI,male
422628,2009-10-31,Mirpur,Shere Bangla National Stadium,"Bangladesh, Zimbabwe",Bangladesh,normal,4 wickets,50,Bangladesh,field,Tamim Iqbal,"Aleem Dar, Nadir Shah",RS Madugalle,ODI,male
422629,2009-11-03,Chittagong,Zohur Ahmed Chowdhury Stadium,"Bangladesh, Zimbabwe",Bangladesh,normal,6 wickets,50,Zimbabwe,bat,Nazmul Hossain,"Aleem Dar, Nadir Shah",RS Madugalle,ODI,male
422630,2009-11-05,Chittagong,Zohur Ahmed Chowdhury Stadium,"Bangladesh, Zimbabwe",Bangladesh,normal,1 wickets,50,Bangladesh,field,Naeem Islam,"Aleem Dar, Enamul Haque",RS Madugalle,ODI,male
423387,2009-10-21,Paarl,Boland Bank Park,"South Africa, West Indies",South Africa,normal,7 wickets,50,South Africa,field,C Brits,"AT Holdstock, CD Isaacs",CJ Mitchley,ODI,female
423783,2010-02-05,Napier,McLean Park,"New Zealand, Bangladesh",New Zealand,normal,146 runs,50,New Zealand,bat,JDP Oram,"RA Kettleborough, EA Watkin",AG Hurst,ODI,male
423784,2010-02-08,Dunedin,University Oval,"New Zealand, Bangladesh",New Zealand,normal,5 wickets,50,New Zealand,field,LRPL Taylor,"AL Hill, RA Kettleborough",AG Hurst,ODI,male
423785,2010-02-11,Christchurch,AMI Stadium,"New Zealand, Bangladesh",New Zealand,normal,3 wickets,50,New Zealand,field,MJ Guptill,"GAV Baxter, RA Kettleborough",AG Hurst,ODI,male
423791,2010-03-03,Napier,McLean Park,"New Zealand, Australia",New Zealand,normal,2 wickets,50,Australia,bat,LRPL Taylor,"AL Hill, RE Koertzen",RS Madugalle,ODI,male
423792,2010-03-06,Auckland,Eden Park,"New Zealand, Australia",Australia,normal,12 runs,50,Australia,bat,DL Vettori,"BF Bowden, RE Koertzen",RS Madugalle,ODI,male
423793,2010-03-09,Hamilton,Seddon Park,"New Zealand, Australia",Australia,normal,6 wickets,50,Australia,field,BJ Haddin,"Asad Rauf, BF Bowden",RS Madugalle,ODI,male
423794,2010-03-11,Auckland,Eden Park,"New Zealand, Australia",Australia,normal,6 wickets,50,Australia,field,CL White,"Asad Rauf, GAV Baxter",RS Madugalle,ODI,male
423795,2010-03-13,Wellington,Westpac Stadium,"New Zealand, Australia",New Zealand,normal,51 runs,50,Australia,field,TG Southee,"Asad Rauf, GAV Baxter",RS Madugalle,ODI,male
426384,2010-06-17,Dublin,Clontarf Cricket Club Ground,"Ireland, Australia",Australia,normal,39 runs,50,Australia,bat,JR Hopes,"RA Kettleborough, NJ Llong",BC Broad,ODI,male
426387,2010-06-22,Southampton,The Rose Bowl,"England, Australia",England,normal,4 wickets,50,Australia,bat,EJG Morgan,"Aleem Dar, IJ Gould",J Srinath,ODI,male
426388,2010-06-24,Cardiff,Sophia Gardens,"England, Australia",England,normal,4 wickets,50,Australia,bat,SCJ Broad,"Aleem Dar, NJ Llong",J Srinath,ODI,male
426389,2010-06-27,Manchester,Old Trafford,"England, Australia",England,normal,1 wickets,50,England,field,GP Swann,"Aleem Dar, IJ Gould",J Srinath,ODI,male
426390,2010-06-30,London,Kennington Oval,"England, Australia",Australia,normal,78 runs,50,England,field,RJ Harris,"Aleem Dar, RA Kettleborough",J Srinath,ODI,male
426391,2010-07-03,London,Lord's,"England, Australia",Australia,normal,42 runs,50,Australia,bat,SW Tait,"Aleem Dar, NJ Llong",J Srinath,ODI,male
426403,2010-07-08,Nottingham,Trent Bridge,"England, Bangladesh",England,normal,6 wickets,50,Bangladesh,bat,IR Bell,"Asad Rauf, NJ Llong",J Srinath,ODI,male
426404,2010-07-10,Bristol,County Ground,"England, Bangladesh",Bangladesh,normal,5 runs,50,England,field,Mashrafe Mortaza,"Asad Rauf, RK Illingworth",J Srinath,ODI,male
426405,2010-07-12,Birmingham,Edgbaston,"England, Bangladesh",England,normal,144 runs,50,Bangladesh,field,AJ Strauss,"Asad Rauf, RA Kettleborough",J Srinath,ODI,male
426420,2010-02-28,Mirpur,Shere Bangla National Stadium,"Bangladesh, England",England,normal,6 wickets,50,England,field,Tamim Iqbal,"Nadir Shah, RJ Tucker",JJ Crowe,ODI,male
426421,2010-03-02,Mirpur,Shere Bangla National Stadium,"Bangladesh, England",England,normal,2 wickets,50,England,field,EJG Morgan,"Nadir Shah, RJ Tucker",JJ Crowe,ODI,male
