Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
1378006,2023-05-29,St Saviour,"Grainville, St Saviour, Jersey","Italy, Jersey",Jersey,normal,7 wickets,20,Italy,bat,G Mallett,"AY Harris, DH Mclean",G McCrea,T20,female
1378007,2023-05-29,St Clement,"FB Fields, St Clement","Turkey, Sweden",Sweden,normal,10 wickets,20,Sweden,field,SK Ravuri,"Jareth McCready, J Naeem",G McCrea,T20,female
1378008,2023-05-29,St Saviour,"Grainville, St Saviour, Jersey","France, Italy",Italy,normal,6 wickets,20,France,bat,EL Bartram,"AY Harris, HE Kearns",G McCrea,T20,female
1378010,2023-05-30,St Saviour,"Grainville, St Saviour, Jersey","Jersey, Germany",Germany,normal,9 wickets,20,Germany,field,CM Gough,"DH Mclean, Ryan Milne",G McCrea,T20,female
1378011,2023-05-30,St Clement,"FB Fields, St Clement","France, Sweden",France,normal,48 runs,20,Sweden,field,IY Mckeon,"HE Kearns, J Naeem",G McCrea,T20,female
1378012,2023-05-30,St Saviour,"Grainville, St Saviour, Jersey","Turkey, Jersey",Jersey,normal,9 wickets,20,Jersey,field,Null,"Jareth McCready, Ryan Milne",G McCrea,T20,female
1378014,2023-06-01,St Saviour,"Grainville, St Saviour, Jersey","Germany, Italy",Italy,normal,7 wickets,20,Italy,field,CM Gough,"HE Kearns, Ryan Milne",G McCrea,T20,female
1378015,2023-06-01,St Clement,"FB Fields, St Clement","France, Turkey",France,normal,128 runs,20,Turkey,field,PC McGeown,"DH Mclean, Jareth McCready",G McCrea,T20,female
1378016,2023-06-01,St Saviour,"Grainville, St Saviour, Jersey","Sweden, Germany",Germany,normal,7 wickets,20,Germany,field,CM Gough,"HE Kearns, J Naeem",G McCrea,T20,female
1378017,2023-06-01,St Clement,"FB Fields, St Clement","France, Jersey",France,normal,6 runs,20,France,bat,A Bester,"AY Harris, Jareth McCready",G McCrea,T20,female
1378018,2023-06-02,St Saviour,"Grainville, St Saviour, Jersey","Italy, Turkey",Italy,normal,88 runs,20,Turkey,field,AS Withanage,"AY Harris, DH Mclean",G McCrea,T20,female
1378019,2023-06-02,St Clement,"FB Fields, St Clement","Jersey, Sweden",Jersey,normal,108 runs,20,Sweden,field,CM Greechan,"Jareth McCready, Ryan Milne",G McCrea,T20,female
1378020,2023-06-02,St Saviour,"Grainville, St Saviour, Jersey","France, Germany",France,normal,13 runs,20,France,bat,PC McGeown,"DH Mclean, J Naeem",G McCrea,T20,female
1378194,2023-07-04,Gros Islet,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","Ireland, West Indies",West Indies,normal,2 wickets,20,West Indies,field,HK Matthews,"DK Butler, JM Williams",Reon King,T20,female
1378195,2023-07-06,Gros Islet,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","Ireland, West Indies",West Indies,normal,8 wickets,20,Ireland,bat,HK Matthews,"DK Butler, Jonathan Blades",Reon King,T20,female
1378196,2023-07-08,Gros Islet,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia","Ireland, West Indies",West Indies,normal,8 wickets,20,Ireland,bat,HK Matthews,"JM Williams, Jonathan Blades",Reon King,T20,female
1378200,2023-08-14,Amstelveen,"VRA Ground, Amstelveen","Netherlands, Ireland",Ireland,normal,10 wickets,20,Ireland,field,AN Kelly,"J Westerberg, WPM van Liemt",Adriaan van den Dries,T20,female
1378201,2023-08-16,Amstelveen,"VRA Ground, Amstelveen","Ireland, Netherlands",Ireland,normal,66 runs,20,Netherlands,field,L Delany,"WPM van Liemt, Rizwan Akram",Adriaan van den Dries,T20,female
1378202,2023-08-17,Amstelveen,"VRA Ground, Amstelveen","Netherlands, Ireland",Ireland,normal,6 wickets,20,Netherlands,bat,R Stokell,"J Westerberg, Rizwan Akram",Adriaan van den Dries,T20,female
1379575,2023-06-17,Nairobi,"Gymkhana Club Ground, Nairobi","Botswana, Uganda",Uganda,normal,7 wickets,20,Botswana,bat,H Ssenyondo,"IO Oyieko, J Karuri",Null,T20,male
